127.0.0.1 - - [24/Sep/2024:14:19:26 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:28 +0530] "GET /TakeTest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:28 +0530] "GET /TakeTest/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:28 +0530] "GET /TakeTest/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:28 +0530] "GET /TakeTest/assets/img/bg-masthead.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:44 +0530] "GET /TakeTest/home.jsp HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:44 +0530] "GET /TakeTest/land-page.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:44 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:47 +0530] "GET /TakeTest/adminPages/adminLogin.jsp HTTP/1.1" 200 3881
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:47 +0530] "GET /TakeTest/adminPages/AdminResources/fonts/icomoon/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:47 +0530] "GET /TakeTest/adminPages/AdminResources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:47 +0530] "GET /TakeTest/adminPages/AdminResources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:47 +0530] "GET /TakeTest/adminPages/AdminResources/css/newStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:47 +0530] "GET /TakeTest/adminPages/AdminResources/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:47 +0530] "GET /TakeTest/adminPages/AdminResources/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:47 +0530] "GET /TakeTest/adminPages/AdminResources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:19:47 +0530] "GET /TakeTest/adminPages/AdminResources/js/main.js HTTP/1.1" 304 -
